timestep;mesh  1  face  centerpoint;mesh  1  color  code;mesh  1  normal;Mesh  1  face  centerpoint  to  Mesh  1  face  n+1  centerpoint  distance;Mesh  1  face  centerpoint  vector  to  Mesh  1  face  n+1  centerpoint  vector  angle
156;(235.25,  144.25,  25);(16,179,104);(-0.68,  -0.41,  0.6);30.33;3.39
156;(303.25,  138.25,  25);(89,190,10);(0.09,  0.82,  -0.56);68.26;7.04
156;(372.25,  132,  25);(104,195,12);(-0.13,  0.03,  0.99);69.28;5.02
156;(462.75,  130,  25);(49,182,49);(0.03,  1,  0);90.52;3.88
156;(552,  126.75,  25);(38,181,63);(0.24,  -0.97,  0);89.31;2.79
156;(550.5,  127.75,  25);(104,195,12);(-0.93,  -0.37,  0);1.8;0.13
156;(549,  129,  25);(10,184,154);(0,  -1,  0);1.95;0.16
156;(546.5,  128.25,  25);(17,179,98);(0.45,  -0.89,  0);2.61;0.02
156;(544.75,  128.5,  25);(49,182,49);(-0.97,  -0.24,  0);1.77;0.07
156;(544.5,  129.75,  25);(10,184,154);(-1,  0,  0);1.27;0.13
156;(525,  263.25,  25);(38,75,163);(-0.85,  -0.34,  -0.4);10.08;0.93
156;(317.5,  110.75,  25);(20,178,88);(-0.1,  -0.79,  0.6);54.1;3.05
156;(315,  111.25,  25);(34,180,68);(-0.19,  -0.38,  0.91);2.55;0.22
156;(427.25,  110.75,  25);(18,178,89);(0.01,  0.98,  -0.18);112.25;5.02
156;(540.5,  110.25,  25);(18,178,90);(-0.45,  0.89,  0);113.25;3.07
156;(235.5,  119,  25);(150,212,20);(0.09,  1,  -0.04);24.03;3.53
156;(257.5,  118,  25);(14,152,206);(-1,  0,  0);22.02;2.21
156;(258.25,  119.75,  25);(38,76,163);(-0.71,  0.71,  0);1.9;0.26
156;(259.5,  119.75,  25);(39,72,161);(0.83,  0.55,  0);1.25;0.11
156;(288.25,  119.75,  25);(127,203,16);(-0.03,  1,  0.01);28.75;2.24
156;(316.5,  121.5,  25);(150,212,20);(-0.96,  0,  -0.29);28.3;1.6
156;(314.25,  123.25,  25);(39,72,161);(-0.32,  -0.95,  0);2.85;0.41
156;(313.5,  124.75,  25);(34,87,169);(-0.45,  0.89,  0);1.68;0.28
156;(316,  126.5,  25);(13,182,133);(-0.71,  0.71,  0);3.05;0.12
156;(316.75,  127,  25);(127,203,16);(0.89,  -0.45,  0);0.9;0.03
156;(316.25,  125.5,  25);(34,87,169);(0.97,  -0.24,  0);1.58;0.2
